"","outd","NoInt:0.75","CI_HQ_SD:0.75","PC_CI_SD:0.75","PC_CI_HQ_SD:0.75","NoInt:0.5","CI_HQ_SD:0.5","PC_CI_SD:0.5","PC_CI_HQ_SD:0.5","NoInt:0.25","CI_HQ_SD:0.25","PC_CI_SD:0.25","PC_CI_HQ_SD:0.25"
"96",95,2927.5,2927.5,2927.5,2927.5,2927.5,2927.5,2927.5,2927.5,2927.5,2927.5,2927.5,2927.5
"97",96,3434.9,3434.9,3434.9,3434.9,3434.9,3434.9,3434.9,3434.9,3434.9,3434.9,3434.9,3434.9
"98",97,4008.9,4008.9,4008.9,4008.9,4008.9,4008.9,4008.9,4008.9,4008.9,4008.9,4008.9,4008.9
"99",98,4701.3,4701.3,4701.3,4701.3,4701.3,4701.3,4701.3,4701.3,4701.3,4701.3,4701.3,4701.3
"100",99,5497.2,5497.2,5497.2,5497.2,5497.2,5497.2,5497.2,5497.2,5497.2,5497.2,5497.2,5497.2
"101",100,6425.3,6425.3,6425.3,6425.3,6425.3,6425.3,6425.3,6425.3,6425.3,6425.3,6425.3,6425.3
"102",101,7498.9,7498.9,7498.9,7498.9,7498.9,7498.9,7498.9,7498.9,7498.9,7498.9,7498.9,7498.9
"103",102,8708.2,8708.2,8708.2,8708.2,8708.2,8708.2,8708.2,8708.2,8708.2,8708.2,8708.2,8708.2
"104",103,10123.6,10123.6,10123.6,10123.6,10123.6,10123.6,10123.6,10123.6,10123.6,10123.6,10123.6,10123.6
"105",104,11737.2,11737.2,11737.2,11737.2,11737.2,11737.2,11737.2,11737.2,11737.2,11737.2,11737.2,11737.2
"106",105,13618,13618,13618,13618,13618,13618,13618,13618,13618,13618,13618,13618
"107",106,15795.6,15795.6,15795.6,15795.6,15795.6,15795.6,15795.6,15795.6,15795.6,15795.6,15795.6,15795.6
"108",107,18292.7,18296.2,18296.6,18301.2,18292.7,18296.2,18296.6,18301.2,18292.7,18296.2,18296.6,18301.2
"109",108,21114.3,21113.5,21105.8,21103.2,21114.3,21113.5,21105.8,21103.2,21114.3,21113.5,21105.8,21103.2
"110",109,24430.9,24385.1,24338.1,24326.8,24430.9,24385.1,24338.1,24326.8,24430.9,24385.1,24338.1,24326.8
"111",110,28186.8,28005.7,27904.4,27867.1,28186.8,28005.7,27904.4,27867.1,28186.8,28005.7,27904.4,27867.1
"112",111,32477.4,32005.7,31743.4,31660,32477.4,32005.7,31743.4,31660,32477.4,32005.7,31743.4,31660
"113",112,37406,36262.2,35607,35528.6,37406,36262.2,35607,35528.6,37406,36262.2,35607,35528.6
"114",113,42947.3,40632.5,39213.5,39156.6,42947.3,40632.5,39213.5,39156.6,42947.3,40632.5,39213.5,39156.6
