"","outd","NoInt:91","CI:91","CI_HQ:91","CI_HQ_SD:91","CI_SD:91","CI_HQ_SDOL70:91","MG:91","PC:91","PC_CI_HQ_SDOL70:91","PC_CI_SD:91","PC_CI_HQ_SD:91","MG_PC_CI_HQ_SDOL70:91","NoInt:121","CI:121","CI_HQ:121","CI_HQ_SD:121","CI_SD:121","CI_HQ_SDOL70:121","MG:121","PC:121","PC_CI_HQ_SDOL70:121","PC_CI_SD:121","PC_CI_HQ_SD:121","MG_PC_CI_HQ_SDOL70:121","NoInt:152","CI:152","CI_HQ:152","CI_HQ_SD:152","CI_SD:152","CI_HQ_SDOL70:152","MG:152","PC:152","PC_CI_HQ_SDOL70:152","PC_CI_SD:152","PC_CI_HQ_SD:152","MG_PC_CI_HQ_SDOL70:152","NoInt:182","CI:182","CI_HQ:182","CI_HQ_SD:182","CI_SD:182","CI_HQ_SDOL70:182","MG:182","PC:182","PC_CI_HQ_SDOL70:182","PC_CI_SD:182","PC_CI_HQ_SD:182","MG_PC_CI_HQ_SDOL70:182"
"373",372,0,0,45.6,64.3,137.8,83,0,1.3,759.3,73.3,97.5,424,0,0,20.9,2275.2,7655.7,34.5,0,0.8,21441.4,588.6,2532.8,11695.7,0,0,6.7,55343.7,63509.1,9.2,0,0.7,52577.5,19167.2,110582.3,67700.4,0,0,1.7,150967.8,14663.9,1.7,0,0,23664.7,344515.8,389534.2,81308.4
"374",373,0,0,43.9,61.1,129.5,83.2,0,1.2,730.5,68.8,90.2,405.2,0,0,19.9,2124.8,7317.9,33.4,0,0.8,20691.1,521.9,2248.2,10999.9,0,0,5.8,52191.2,63142.4,8.6,0,0.6,52257.8,17050.6,100255,65275.2,0,0,1.6,154215.2,15247.3,2.2,0,0,24463.1,325203.4,403794.2,83213
"375",374,0,0,44.7,55.8,118.8,80.9,0,1.2,699.8,62.5,83,386.7,0,0,19.7,1970.2,6969.3,31.9,0,0.7,19959,464.1,1989.8,10360.1,0,0,4.7,49207.2,62702.1,8.9,0,0.6,51904.4,15177.7,90792.2,62811.2,0,0,1.4,157114.7,15833.1,2.3,0,0,25283,305792.1,416005.3,85152.6
"376",375,0,0,44.4,53.8,110.7,78.1,0,0.9,673.5,56.8,73.6,366.7,0,0,18.8,1835.3,6683.5,30.9,0,0.7,19192,412.7,1769,9729.8,0,0,4.6,46348.7,62292.4,8.8,0,0.6,51490.9,13522.9,81978.9,60389.6,0,0,1.6,159911,16447.9,2.1,0,0,26114.9,286245.2,426130,86927.8
"377",376,0,0,43.9,51.3,107.6,77.1,0,1.2,645.4,50.8,67.2,349.1,0,0,18.9,1704.2,6407.5,31,0,0.7,18490.8,366.6,1565.1,9183.4,0,0,4.4,43673.5,61705.6,8.6,0,0.3,51020.7,12035.8,74008.9,57925.8,0,0,1.8,162284.2,17104.4,2.7,0,0,27030,266681.1,433812.5,88539.1
"378",377,0,0,44.6,50.2,99.4,75.5,0,1,615.1,47.9,61.8,332.8,0,0,18,1594.7,6133.8,31,0,0.6,17791.2,324.3,1385.2,8653.6,0,0,4.2,41090.7,61287.9,8.1,0,0.3,50486.6,10691.2,66736.4,55543.9,0,0,1.5,164442.8,17734.2,3,0,0,27915.6,247627,439022.9,90025.4
"379",378,0,0,43.9,46.7,93.5,73.4,0,0.9,589.5,44.5,55.3,320.6,0,0,16.6,1482.5,5882.1,30.2,0,0.6,17101.7,286.5,1226.9,8147.8,0,0,3.5,38571.1,60759,8.2,0,0.2,49928,9510.8,60043.9,53174.7,0,0,1.3,166235.9,18424.8,3,0,0,28824.9,229242.6,441823.6,91405.7
"380",379,0,0,41.1,42.2,90.5,69.9,0,0.9,559.4,39.5,51.1,303.5,0,0,15,1384.8,5627.2,29.6,0,0.6,16419.4,252,1079.6,7652.1,0,0,4,36194.9,60101.7,8.2,0,0.2,49276.2,8439.6,53966,50826,0,0,1.1,167745.4,19127.1,3.2,0,0,29736.4,211515.6,441966.2,92606.3
"381",380,0,0,38.5,39.6,89,66.4,0,0.9,538.2,38,45.9,289.3,0,0,14.8,1296.2,5372.2,29.6,0,0.6,15800.7,221.3,961.3,7194.1,0,0,3.7,33917.5,59500.3,7.9,0,0.2,48612.1,7492.2,48477.1,48583.1,0,0,1.2,168833.2,19812.8,2.8,0,0,30643.1,194603.1,439768.3,93668.6
"382",381,0,0,37.7,35.9,84.6,62.4,0,1,512.6,34.7,39.1,274.1,0,0,14.7,1197.7,5125.6,29.6,0,0.6,15184.1,193,843,6783.1,0,0,3.5,31817.1,58769.8,7.7,0,0.2,47925.1,6663.7,43502.6,46398.5,0,0,1,169534.1,20512.9,2.1,0,0,31598.9,178601.4,435249.6,94714.6
