"","outd","NoInt:91","CI:91","CI_HQ:91","CI_HQ_SD:91","CI_SD:91","CI_HQ_SDOL70:91","MG:91","PC:91","PC_CI_HQ_SDOL70:91","PC_CI_SD:91","PC_CI_HQ_SD:91","MG_PC_CI_HQ_SDOL70:91","NoInt:121","CI:121","CI_HQ:121","CI_HQ_SD:121","CI_SD:121","CI_HQ_SDOL70:121","MG:121","PC:121","PC_CI_HQ_SDOL70:121","PC_CI_SD:121","PC_CI_HQ_SD:121","MG_PC_CI_HQ_SDOL70:121","NoInt:152","CI:152","CI_HQ:152","CI_HQ_SD:152","CI_SD:152","CI_HQ_SDOL70:152","MG:152","PC:152","PC_CI_HQ_SDOL70:152","PC_CI_SD:152","PC_CI_HQ_SD:152","MG_PC_CI_HQ_SDOL70:152","NoInt:182","CI:182","CI_HQ:182","CI_HQ_SD:182","CI_SD:182","CI_HQ_SDOL70:182","MG:182","PC:182","PC_CI_HQ_SDOL70:182","PC_CI_SD:182","PC_CI_HQ_SD:182","MG_PC_CI_HQ_SDOL70:182"
"480",479,0,0,0.4,0,2,1.9,0,0.1,24.6,0,0,4.1,0,0,0.3,1.6,115.7,0.7,0,0.1,208.9,0,0.1,24.7,0,0,0,74.6,3634,0.3,0,0.1,1323.9,0.2,1.3,233.6,0,0,0,1685.3,22954,0.2,0,0,9389.6,16.8,76.2,3003.4
"481",480,0,0,0.3,0,1.8,1.6,0,0.1,23.4,0,0,4.2,0,0,0.2,1.4,110.5,0.7,0,0.1,197.5,0,0.1,23.2,0,0,0,69.2,3498.4,0.1,0,0.1,1265.8,0.2,1.1,220.7,0,0,0,1574.9,22755.8,0.2,0,0,9083.8,15.7,69,2835.2
"482",481,0,0,0.2,0,1.6,1.4,0,0.1,21.8,0,0,4.9,0,0,0.1,1.6,105.1,0.7,0,0.1,186.3,0,0,22.2,0,0,0,63,3372.6,0.1,0,0.1,1216.2,0.2,0.7,208.9,0,0,0,1472.1,22491.3,0.3,0,0,8804.1,14.4,60.7,2678.3
"483",482,0,0,0.1,0,1.4,1.5,0,0,20.3,0,0,4.3,0,0,0.2,1.9,101.1,0.7,0,0.1,179,0,0,20.2,0,0,0.1,59,3241.8,0,0,0.1,1172.1,0.2,0.7,192.1,0,0,0,1380.1,22249,0.2,0,0,8516.9,13,55.4,2529.2
"484",483,0,0,0.1,0,1.3,1.6,0,0,18.9,0,0,3.9,0,0,0.2,1.9,95.2,0.8,0,0.1,171.9,0,0,20,0,0,0.1,57.4,3130.7,0,0,0.1,1116.5,0.2,0.5,184.6,0,0,0,1280.7,22026.4,0.2,0,0,8236.1,11.4,49.3,2386.2
"485",484,0,0,0.1,0.1,1,1.6,0,0,18.2,0,0,3.9,0,0,0.1,1.7,93.7,0.8,0,0.1,165.5,0,0,19.3,0,0,0.1,55,3001.5,0,0,0,1074.1,0.1,0.4,177.9,0,0,0,1189.8,21756.6,0.3,0,0,7967.1,10.7,43,2250
"486",485,0,0,0.1,0.1,0.9,1.5,0,0,18.2,0,0,3.9,0,0,0.1,1.4,89.4,1,0,0.1,154.1,0,0,17.8,0,0,0.1,50.3,2877,0,0,0,1021.5,0.1,0.3,166.4,0,0,0,1105.3,21474.1,0.4,0,0,7684.5,9.3,38.7,2129.7
"487",486,0,0,0.3,0.1,1,1.5,0,0,16.9,0,0,3.8,0,0,0.3,1.4,86.1,1.3,0,0,145.9,0,0,17.7,0,0,0.1,46.7,2771.9,0,0,0,978.6,0.1,0.3,155.5,0,0,0,1033.4,21201.9,0.3,0,0,7432.7,8.5,34.8,2010.9
"488",487,0,0,0.3,0.1,0.9,1.3,0,0,16.5,0,0,3.4,0,0,0.3,1.4,83.2,1.2,0,0,139.3,0,0,17.8,0,0,0.2,42.4,2681.2,0,0,0,933.9,0,0.3,143.6,0,0,0,963.9,20886.7,0.3,0,0,7168.1,7.6,29.9,1909.8
"489",488,0,0,0.3,0.1,1,1.6,0,0,15.4,0,0,3.2,0,0,0.4,1.2,78.1,1.1,0,0,136.1,0,0,17.3,0,0,0.2,40.2,2584.1,0,0,0,895.3,0,0.3,136.4,0,0,0,899.2,20560.2,0.3,0,0,6910.2,6.4,27.4,1805.1
