"","outd","NoInt:91","CI:91","CI_HQ:91","CI_HQ_SD:91","CI_SD:91","CI_HQ_SDOL70:91","MG:91","PC:91","PC_CI_HQ_SDOL70:91","PC_CI_SD:91","PC_CI_HQ_SD:91","MG_PC_CI_HQ_SDOL70:91","NoInt:121","CI:121","CI_HQ:121","CI_HQ_SD:121","CI_SD:121","CI_HQ_SDOL70:121","MG:121","PC:121","PC_CI_HQ_SDOL70:121","PC_CI_SD:121","PC_CI_HQ_SD:121","MG_PC_CI_HQ_SDOL70:121","NoInt:152","CI:152","CI_HQ:152","CI_HQ_SD:152","CI_SD:152","CI_HQ_SDOL70:152","MG:152","PC:152","PC_CI_HQ_SDOL70:152","PC_CI_SD:152","PC_CI_HQ_SD:152","MG_PC_CI_HQ_SDOL70:152","NoInt:182","CI:182","CI_HQ:182","CI_HQ_SD:182","CI_SD:182","CI_HQ_SDOL70:182","MG:182","PC:182","PC_CI_HQ_SDOL70:182","PC_CI_SD:182","PC_CI_HQ_SD:182","MG_PC_CI_HQ_SDOL70:182"
"262",261,2.6,73.3,501.7,7156.5,4758.1,404,8.1,42.4,2216.2,1359.9,478.2,2335.9,2.6,40.8,211.5,421.1,388,166.9,5.4,23.1,444.1,24,5.9,448.1,2.6,40.9,210,364.1,323.8,166.8,4.8,23.5,451.2,20.7,6.3,435,2.6,40.9,210,364.1,323.8,166.8,4.8,23.5,451.2,20.7,6.3,435
"263",262,2.9,70.2,475.7,7373.7,4813,418.2,6.9,39,2389.8,1463.1,545.2,2518.6,2.9,36.3,199.4,441.8,408.6,160.6,4.4,18.6,438.2,25.1,8.7,434.4,2.9,36.1,197.1,343.9,300.7,161.6,5.7,18.9,428.4,19.7,5.3,443.2,2.9,36.1,197.1,343.9,300.7,161.6,5.7,18.9,428.4,19.7,5.3,443.2
"264",263,2.2,62.5,457.1,7588.8,4849.1,429.9,5.8,35.1,2465.1,1599.5,586.1,2717.4,2.2,35.9,188.1,464.1,439.1,154.4,4,22.2,419,26.8,5.6,422.8,2.2,35.8,192.1,325.2,281.5,153,5.9,18.4,416.1,20.4,6.6,426,2.2,35.8,192.1,325.2,281.5,153,5.9,18.4,416.1,20.4,6.6,426
"265",264,2.3,60.6,453.3,7754.9,4858.7,442.2,5.8,34.3,2603.5,1721.8,639.6,2887.5,2.3,31.7,174.2,491.7,454.2,132.6,3.7,17,409.8,29.3,9,416.4,2.3,30.8,174.7,297.9,265.5,132.4,4.4,17,403.6,18.1,5.8,419.4,2.3,30.8,174.7,297.9,265.5,132.4,4.4,17,403.6,18.1,5.8,419.4
"266",265,1.6,56.8,447.4,7938.9,4958.4,448.5,4,30.1,2699.7,1874.9,707.1,3063.5,1.6,29.3,164.1,521.2,476,131.2,4.2,15.1,409.7,31.6,12.1,389.4,1.6,29.1,160.6,293.5,252.2,129.5,4,15.3,387.4,18.5,5.9,402.7,1.6,29.1,160.6,293.5,252.2,129.5,4,15.3,387.4,18.5,5.9,402.7
"267",266,1.4,55.7,421.4,8118.1,4939.2,453.2,4.3,32.7,2792.6,2034,774.7,3193.3,1.4,26.5,152.1,539.1,486.6,117.2,4.7,15.1,387.1,33.6,8.3,412.3,1.4,24.9,149.1,272.2,229.6,117.4,3.4,14.2,391.3,15.7,4.4,389.2,1.4,24.9,149.1,272.2,229.6,117.4,3.4,14.2,391.3,15.7,4.4,389.2
"268",267,1.7,54.3,408.6,8230,4945.9,450.5,4.1,29.8,2872.7,2203.5,861.6,3314.7,1.7,24.6,144,560.1,492.1,107.8,5.2,12.4,369,36.1,8.1,393.3,1.7,25,143.4,257.7,212.1,111.7,3.7,12.6,355.4,17,4.8,372.9,1.7,25,143.4,257.7,212.1,111.7,3.7,12.6,355.4,17,4.8,372.9
"269",268,1.6,42.2,401.3,8259.2,4994.8,438.4,4.3,26.8,2920.5,2383.9,946,3442.5,1.6,22.8,134.6,601.9,509,103.5,3,12.7,365.7,40.7,10.9,388.8,1.6,22.6,131.2,250.3,206,107.1,2.7,11.3,351.1,15.9,4.8,354.8,1.6,22.6,131.2,250.3,206,107.1,2.7,11.3,351.1,15.9,4.8,354.8
"270",269,1.1,45.6,387.4,8375.5,4924,428.5,3,23.4,2942.7,2591.8,1025.7,3542.9,1.1,21.3,127.1,620.4,513.8,102.2,3.7,13.1,370.6,41.3,13.1,392.3,1.1,19.4,124.2,225,188.7,96.7,2.3,11.2,328.1,13,5.7,359.5,1.1,19.4,124.2,225,188.7,96.7,2.3,11.2,328.1,13,5.7,359.5
"271",270,0.8,41.6,382.3,8487.1,4954.3,439.4,2.6,22.2,3006.5,2746.6,1108.7,3615.8,0.8,17.8,120.3,651.9,539.4,104.8,2,10,353.7,48.9,11.1,383.9,0.8,18.6,118,223,176.5,84.1,3,9.6,320.4,12.4,3.7,342.4,0.8,18.6,118,223,176.5,84.1,3,9.6,320.4,12.4,3.7,342.4
