"","outd","NoInt:91","CI:91","CI_HQ:91","CI_HQ_SD:91","CI_SD:91","CI_HQ_SDOL70:91","MG:91","PC:91","PC_CI_HQ_SDOL70:91","PC_CI_SD:91","PC_CI_HQ_SD:91","MG_PC_CI_HQ_SDOL70:91","NoInt:121","CI:121","CI_HQ:121","CI_HQ_SD:121","CI_SD:121","CI_HQ_SDOL70:121","MG:121","PC:121","PC_CI_HQ_SDOL70:121","PC_CI_SD:121","PC_CI_HQ_SD:121","MG_PC_CI_HQ_SDOL70:121","NoInt:152","CI:152","CI_HQ:152","CI_HQ_SD:152","CI_SD:152","CI_HQ_SDOL70:152","MG:152","PC:152","PC_CI_HQ_SDOL70:152","PC_CI_SD:152","PC_CI_HQ_SD:152","MG_PC_CI_HQ_SDOL70:152","NoInt:182","CI:182","CI_HQ:182","CI_HQ_SD:182","CI_SD:182","CI_HQ_SDOL70:182","MG:182","PC:182","PC_CI_HQ_SDOL70:182","PC_CI_SD:182","PC_CI_HQ_SD:182","MG_PC_CI_HQ_SDOL70:182"
"132",131,313.1,237.2,200.3,154.8,163.6,188.7,280.1,297.1,175.6,161.8,156,170.6,313.1,237.2,200.3,154.8,163.6,188.7,280.1,297.1,175.6,161.8,156,170.6,313.1,237.2,200.3,154.8,163.6,188.7,280.1,297.1,175.6,161.8,156,170.6,313.1,237.2,200.3,154.8,163.6,188.7,280.1,297.1,175.6,161.8,156,170.6
"133",132,347.9,259.7,222.3,165.3,174,195.1,323.3,339.1,187.2,170.9,156.4,179.6,347.9,259.7,222.3,165.3,174,195.1,323.3,339.1,187.2,170.9,156.4,179.6,347.9,259.7,222.3,165.3,174,195.1,323.3,339.1,187.2,170.9,156.4,179.6,347.9,259.7,222.3,165.3,174,195.1,323.3,339.1,187.2,170.9,156.4,179.6
"134",133,407,284.9,250.2,168.9,187.9,213.4,361.3,385.1,199.4,181.3,164.2,190.8,407,284.9,250.2,168.9,187.9,213.4,361.3,385.1,199.4,181.3,164.2,190.8,407,284.9,250.2,168.9,187.9,213.4,361.3,385.1,199.4,181.3,164.2,190.8,407,284.9,250.2,168.9,187.9,213.4,361.3,385.1,199.4,181.3,164.2,190.8
"135",134,471.4,321.9,270.5,180,195.9,228.1,406.9,432.8,219.6,182.6,164.7,196.8,471.4,321.9,270.5,180,195.9,228.1,406.9,432.8,219.6,182.6,164.7,196.8,471.4,321.9,270.5,180,195.9,228.1,406.9,432.8,219.6,182.6,164.7,196.8,471.4,321.9,270.5,180,195.9,228.1,406.9,432.8,219.6,182.6,164.7,196.8
"136",135,532.4,367.7,299.1,181.6,205,242.4,466.6,469.2,235.5,181.5,164.1,205.6,532.4,367.7,299.1,181.6,205,242.4,466.6,469.2,235.5,181.5,164.1,205.6,532.4,367.7,299.1,181.6,205,242.4,466.6,469.2,235.5,181.5,164.1,205.6,532.4,367.7,299.1,181.6,205,242.4,466.6,469.2,235.5,181.5,164.1,205.6
"137",136,608.8,392.7,313.7,175.7,195.8,262.4,526.5,541.4,227.2,176.2,162.4,222.1,608.8,392.7,313.7,175.7,195.8,262.4,526.5,541.4,227.2,176.2,162.4,222.1,608.8,392.7,313.7,175.7,195.8,262.4,526.5,541.4,227.2,176.2,162.4,222.1,608.8,392.7,313.7,175.7,195.8,262.4,526.5,541.4,227.2,176.2,162.4,222.1
"138",137,700.3,439.2,359.2,176.4,205.5,283.4,591.7,593.4,246.7,174.6,161.3,227,700.3,439.2,359.2,176.4,205.5,283.4,591.7,593.4,246.7,174.6,161.3,227,700.3,439.2,359.2,176.4,205.5,283.4,591.7,593.4,246.7,174.6,161.3,227,700.3,439.2,359.2,176.4,205.5,283.4,591.7,593.4,246.7,174.6,161.3,227
"139",138,813.5,479.5,390.7,182.9,210.5,292.3,677.1,659.4,252,172.6,155.2,225.5,813.5,479.5,390.7,182.9,210.5,292.3,677.1,659.4,252,172.6,155.2,225.5,813.5,479.5,390.7,182.9,210.5,292.3,677.1,659.4,252,172.6,155.2,225.5,813.5,479.5,390.7,182.9,210.5,292.3,677.1,659.4,252,172.6,155.2,225.5
"140",139,916.1,548,427.5,194.5,210.9,332.8,745.9,743.6,265.9,176.7,148.8,239.3,916.1,548,427.5,194.5,210.9,332.8,745.9,743.6,265.9,176.7,148.8,239.3,916.1,548,427.5,194.5,210.9,332.8,745.9,743.6,265.9,176.7,148.8,239.3,916.1,548,427.5,194.5,210.9,332.8,745.9,743.6,265.9,176.7,148.8,239.3
"141",140,1045.5,597.6,446.8,181.2,231.4,355.9,851.6,790.7,272.8,172.6,148.2,243.3,1045.5,597.6,446.8,181.2,231.4,355.9,851.6,790.7,272.8,172.6,148.2,243.3,1045.5,597.6,446.8,181.2,231.4,355.9,851.6,790.7,272.8,172.6,148.2,243.3,1045.5,597.6,446.8,181.2,231.4,355.9,851.6,790.7,272.8,172.6,148.2,243.3
"142",141,1184.5,659.1,500.3,194.2,239.6,382.3,953.2,886.2,284,169.8,139.5,238.4,1184.5,659.1,500.3,194.2,239.6,382.3,953.2,886.2,284,169.8,139.5,238.4,1184.5,659.1,500.3,194.2,239.6,382.3,953.2,886.2,284,169.8,139.5,238.4,1184.5,659.1,500.3,194.2,239.6,382.3,953.2,886.2,284,169.8,139.5,238.4
"143",142,1351,751.4,544.7,199.4,244.3,408.3,1089.4,966.7,284.9,163.9,131.3,252.5,1351,751.4,544.7,199.4,244.3,408.3,1089.4,966.7,284.9,163.9,131.3,252.5,1351,751.4,544.7,199.4,244.3,408.3,1089.4,966.7,284.9,163.9,131.3,252.5,1351,751.4,544.7,199.4,244.3,408.3,1089.4,966.7,284.9,163.9,131.3,252.5
"144",143,1550.7,823.4,608.2,209.4,260.2,454,1229,1033.5,294.3,160.7,125.1,263.8,1550.7,823.4,608.2,209.4,260.2,454,1229,1033.5,294.3,160.7,125.1,263.8,1550.7,823.4,608.2,209.4,260.2,454,1229,1033.5,294.3,160.7,125.1,263.8,1550.7,823.4,608.2,209.4,260.2,454,1229,1033.5,294.3,160.7,125.1,263.8
"145",144,1755.4,910.7,633.9,208.1,271.5,471.9,1382.2,1145.3,310.9,153.7,134.8,266.6,1755.4,910.7,633.9,208.1,271.5,471.9,1382.2,1145.3,310.9,153.7,134.8,266.6,1755.4,910.7,633.9,208.1,271.5,471.9,1382.2,1145.3,310.9,153.7,134.8,266.6,1755.4,910.7,633.9,208.1,271.5,471.9,1382.2,1145.3,310.9,153.7,134.8,266.6
"146",145,2002.5,1009.7,709.2,215.2,280.9,512.9,1553.9,1267.9,322.4,146,121.2,264.8,2002.5,1009.7,709.2,215.2,280.9,512.9,1553.9,1267.9,322.4,146,121.2,264.8,2002.5,1009.7,709.2,215.2,280.9,512.9,1553.9,1267.9,322.4,146,121.2,264.8,2002.5,1009.7,709.2,215.2,280.9,512.9,1553.9,1267.9,322.4,146,121.2,264.8
"147",146,2215.1,1116.6,774.4,219.2,294.1,560,1708.2,1378.3,321,149.8,119.7,274.8,2215.1,1116.6,774.4,219.2,294.1,560,1708.2,1378.3,321,149.8,119.7,274.8,2215.1,1116.6,774.4,219.2,294.1,560,1708.2,1378.3,321,149.8,119.7,274.8,2215.1,1116.6,774.4,219.2,294.1,560,1708.2,1378.3,321,149.8,119.7,274.8
"148",147,2485.6,1208.7,829,218.6,301.3,609.1,1924.3,1482.5,352.8,139.4,109.5,280.2,2485.6,1208.7,829,218.6,301.3,609.1,1924.3,1482.5,352.8,139.4,109.5,280.2,2485.6,1208.7,829,218.6,301.3,609.1,1924.3,1482.5,352.8,139.4,109.5,280.2,2485.6,1208.7,829,218.6,301.3,609.1,1924.3,1482.5,352.8,139.4,109.5,280.2
"149",148,2750.7,1325.5,886,215,302.4,628.2,2090.2,1598,354.2,139.5,101.5,285.9,2750.7,1325.5,886,215,302.4,628.2,2090.2,1598,354.2,139.5,101.5,285.9,2750.7,1325.5,886,215,302.4,628.2,2090.2,1598,354.2,139.5,101.5,285.9,2750.7,1325.5,886,215,302.4,628.2,2090.2,1598,354.2,139.5,101.5,285.9
"150",149,3029.7,1430.5,944.4,217.5,308.3,677.4,2271.7,1753.1,361.6,127.8,95.6,296.5,3029.7,1430.5,944.4,217.5,308.3,677.4,2271.7,1753.1,361.6,127.8,95.6,296.5,3029.7,1430.5,944.4,217.5,308.3,677.4,2271.7,1753.1,361.6,127.8,95.6,296.5,3029.7,1430.5,944.4,217.5,308.3,677.4,2271.7,1753.1,361.6,127.8,95.6,296.5
"151",150,3402.1,1563.7,1011.1,222.4,322.9,724.5,2517.9,1886.4,381.1,126.7,99.8,305.7,3402.1,1563.7,1011.1,222.4,322.9,724.5,2517.9,1886.4,381.1,126.7,99.8,305.7,3402.1,1563.7,1011.1,222.4,322.9,724.5,2517.9,1886.4,381.1,126.7,99.8,305.7,3402.1,1563.7,1011.1,222.4,322.9,724.5,2517.9,1886.4,381.1,126.7,99.8,305.7
"152",151,3721.5,1689.5,1095.6,228.6,347.7,777.2,2842.8,2043.1,383.3,128,94.7,305.8,3721.5,1689.5,1095.6,228.6,347.7,777.2,2842.8,2043.1,383.3,128,94.7,305.8,3721.5,1689.5,1095.6,228.6,347.7,777.2,2842.8,2043.1,383.3,128,94.7,305.8,3721.5,1689.5,1095.6,228.6,347.7,777.2,2842.8,2043.1,383.3,128,94.7,305.8
"153",152,4088.8,1859.5,1200.1,233.6,336.2,831.9,3065.6,2226.8,405.2,124.9,85.2,316.7,4088.8,1859.5,1200.1,233.6,336.2,831.9,3065.6,2226.8,405.2,124.9,85.2,316.7,4088.8,1859.5,1200.1,233.6,336.2,831.9,3065.6,2226.8,405.2,124.9,85.2,316.7,4088.8,1859.5,1200.1,233.6,336.2,831.9,3065.6,2226.8,405.2,124.9,85.2,316.7
"154",153,4488.1,1997.3,1246.9,240.2,369.2,877.8,3355,2393.6,423.9,122.7,79.7,333.2,4488.1,1997.3,1246.9,240.2,369.2,877.8,3355,2393.6,423.9,122.7,79.7,333.2,4488.1,1997.3,1246.9,240.2,369.2,877.8,3355,2393.6,423.9,122.7,79.7,333.2,4488.1,1997.3,1246.9,240.2,369.2,877.8,3355,2393.6,423.9,122.7,79.7,333.2
"155",154,4867.7,2141.6,1307.5,235.4,356,918.2,3612.8,2579.7,433.3,114.4,81.1,340.3,4867.7,2141.6,1307.5,235.4,356,918.2,3612.8,2579.7,433.3,114.4,81.1,340.3,4867.7,2141.6,1307.5,235.4,356,918.2,3612.8,2579.7,433.3,114.4,81.1,340.3,4867.7,2141.6,1307.5,235.4,356,918.2,3612.8,2579.7,433.3,114.4,81.1,340.3
"156",155,5270.8,2300.6,1401.7,233.3,351.5,981.1,3871.3,2780.2,451.7,108.5,72.4,341.3,5270.8,2300.6,1401.7,233.3,351.5,981.1,3871.3,2780.2,451.7,108.5,72.4,341.3,5270.8,2300.6,1401.7,233.3,351.5,981.1,3871.3,2780.2,451.7,108.5,72.4,341.3,5270.8,2300.6,1401.7,233.3,351.5,981.1,3871.3,2780.2,451.7,108.5,72.4,341.3
"157",156,5677.9,2419.8,1463.9,229.9,357.9,1006.5,4125.1,3011.2,460.5,107.9,72.9,361.6,5677.9,2419.8,1463.9,229.9,357.9,1006.5,4125.1,3011.2,460.5,107.9,72.9,361.6,5677.9,2419.8,1463.9,229.9,357.9,1006.5,4125.1,3011.2,460.5,107.9,72.9,361.6,5677.9,2419.8,1463.9,229.9,357.9,1006.5,4125.1,3011.2,460.5,107.9,72.9,361.6
"158",157,6039.1,2552.9,1535.8,226.4,346.4,1053.6,4433.1,3218.9,474.1,100.4,70.2,349.7,6039.1,2552.9,1535.8,226.4,346.4,1053.6,4433.1,3218.9,474.1,100.4,70.2,349.7,6039.1,2552.9,1535.8,226.4,346.4,1053.6,4433.1,3218.9,474.1,100.4,70.2,349.7,6039.1,2552.9,1535.8,226.4,346.4,1053.6,4433.1,3218.9,474.1,100.4,70.2,349.7
"159",158,6441.4,2722.2,1586.7,214.9,353.3,1123,4713.7,3469.3,485.5,96.2,63.8,368.2,6441.4,2722.2,1586.7,214.9,353.3,1123,4713.7,3469.3,485.5,96.2,63.8,368.2,6441.4,2722.2,1586.7,214.9,353.3,1123,4713.7,3469.3,485.5,96.2,63.8,368.2,6441.4,2722.2,1586.7,214.9,353.3,1123,4713.7,3469.3,485.5,96.2,63.8,368.2
"160",159,6798.2,2844.3,1646.4,214.1,340.6,1159.3,4980.8,3726.7,517.2,97.6,63.4,383.6,6798.2,2844.3,1646.4,214.1,340.6,1159.3,4980.8,3726.7,517.2,97.6,63.4,383.6,6798.2,2844.3,1646.4,214.1,340.6,1159.3,4980.8,3726.7,517.2,97.6,63.4,383.6,6798.2,2844.3,1646.4,214.1,340.6,1159.3,4980.8,3726.7,517.2,97.6,63.4,383.6
"161",160,7224.3,2994.4,1745.1,212,346.8,1190.4,5278.5,3988.1,515.6,90.5,61.3,396.4,7224.3,2994.4,1745.1,212,346.8,1190.4,5278.5,3988.1,515.6,90.5,61.3,396.4,7224.3,2994.4,1745.1,212,346.8,1190.4,5278.5,3988.1,515.6,90.5,61.3,396.4,7224.3,2994.4,1745.1,212,346.8,1190.4,5278.5,3988.1,515.6,90.5,61.3,396.4
"162",161,7657.4,3160.8,1778.7,203,338.8,1251,5514.9,4228.8,556.5,90.8,58.9,389.9,7657.4,3160.8,1778.7,203,338.8,1251,5514.9,4228.8,556.5,90.8,58.9,389.9,7657.4,3160.8,1778.7,203,338.8,1251,5514.9,4228.8,556.5,90.8,58.9,389.9,7657.4,3160.8,1778.7,203,338.8,1251,5514.9,4228.8,556.5,90.8,58.9,389.9
"163",162,7999.4,3319.2,1880.5,195.5,339,1312.9,5865,4485.8,558.5,96.9,55.8,398.9,7999.4,3319.2,1880.5,195.5,339,1312.9,5865,4485.8,558.5,96.9,55.8,398.9,7999.4,3319.2,1880.5,195.5,339,1312.9,5865,4485.8,558.5,96.9,55.8,398.9,7999.4,3319.2,1880.5,195.5,339,1312.9,5865,4485.8,558.5,96.9,55.8,398.9
"164",163,8422.4,3486.3,1986.3,187.8,325.2,1346.3,6144,4811.5,586.8,86.9,56.2,417.9,8422.4,3486.3,1986.3,187.8,325.2,1346.3,6144,4811.5,586.8,86.9,56.2,417.9,8422.4,3486.3,1986.3,187.8,325.2,1346.3,6144,4811.5,586.8,86.9,56.2,417.9,8422.4,3486.3,1986.3,187.8,325.2,1346.3,6144,4811.5,586.8,86.9,56.2,417.9
"165",164,8804,3655.7,2046.5,184.8,329.1,1398.3,6435.5,5039.7,598.7,81.2,49.6,420.2,8804,3655.7,2046.5,184.8,329.1,1398.3,6435.5,5039.7,598.7,81.2,49.6,420.2,8804,3655.7,2046.5,184.8,329.1,1398.3,6435.5,5039.7,598.7,81.2,49.6,420.2,8804,3655.7,2046.5,184.8,329.1,1398.3,6435.5,5039.7,598.7,81.2,49.6,420.2
"166",165,9099.2,3841.1,2110,179.8,326.3,1450.6,6674,5388.5,613.8,84.1,48.6,427.4,9099.2,3841.1,2110,179.8,326.3,1450.6,6674,5388.5,613.8,84.1,48.6,427.4,9099.2,3841.1,2110,179.8,326.3,1450.6,6674,5388.5,613.8,84.1,48.6,427.4,9099.2,3841.1,2110,179.8,326.3,1450.6,6674,5388.5,613.8,84.1,48.6,427.4
"167",166,9446.5,3987.8,2243.1,184.2,328.9,1521.7,6994.4,5688.2,643.1,75.5,50.1,437.5,9446.5,3987.8,2243.1,184.2,328.9,1521.7,6994.4,5688.2,643.1,75.5,50.1,437.5,9446.5,3987.8,2243.1,184.2,328.9,1521.7,6994.4,5688.2,643.1,75.5,50.1,437.5,9446.5,3987.8,2243.1,184.2,328.9,1521.7,6994.4,5688.2,643.1,75.5,50.1,437.5
"168",167,9832.4,4177.4,2307.1,184.4,332.5,1576.3,7315.7,5922.5,651.9,76.1,44.6,449.3,9832.4,4177.4,2307.1,184.4,332.5,1576.3,7315.7,5922.5,651.9,76.1,44.6,449.3,9832.4,4177.4,2307.1,184.4,332.5,1576.3,7315.7,5922.5,651.9,76.1,44.6,449.3,9832.4,4177.4,2307.1,184.4,332.5,1576.3,7315.7,5922.5,651.9,76.1,44.6,449.3
"169",168,10122.5,4398.5,2375.2,176.9,321.4,1643.4,7555.8,6237.1,677,74.9,44.8,474.3,10122.5,4398.5,2375.2,176.9,321.4,1643.4,7555.8,6237.1,677,74.9,44.8,474.3,10122.5,4398.5,2375.2,176.9,321.4,1643.4,7555.8,6237.1,677,74.9,44.8,474.3,10122.5,4398.5,2375.2,176.9,321.4,1643.4,7555.8,6237.1,677,74.9,44.8,474.3
